,F_equation_0,G_equation_0,type,state
9737,-1.211*x_1_0**3.0,x_2_0**1.0,Population,True
9738,0.862*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
9739,-1.392*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
9740,-6.889*x_1_0,0.916*x_2_0*(1 - x_1_0),Epidemic,True
9741,0.0,-1.136*x_1_0 + 1.136*x_2_0,Heat,True
9742,-0.284054111171962*x_1_0*(x_1_0 - 4.357)*(x_1_0 - 0.808) + 0.099,x_1_0*x_2_0/(0.993*x_1_0 + 0.129*x_2_0 + 5.504),Mutualistic,True
9743,-1.252*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
9744,-4.338*x_1_0,4.659*x_2_0*(1 - x_1_0),Epidemic,True
9745,x_1_0*(1.377 - 0.09*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
9746,7.07100000000000,7.955*sin(x_1_0*x_2_0),Kuramoto,True
9747,-1.03*x_1_0**3.0,x_2_0**1.0,Population,True
9748,-4.588*x_1_0,3.529*x_2_0*(1 - x_1_0),Epidemic,True
9749,x_1_0*(0.121 - 0.834*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
9750,1.496*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
9751,-4.728*x_1_0 + 1.967*tanh(x_1_0),tanh(x_2_0),Excitation,True
9752,1.283*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
9753,-2.685*x_1_0,4.647*x_2_0*(1 - x_1_0),Epidemic,True
9754,-1.168*x_1_0 + 2.818*tanh(x_1_0),tanh(x_2_0),Excitation,True
9755,-0.686*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
9756,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
9757,5.61100000000000,7.899*sin(x_1_0*x_2_0),Kuramoto,True
9758,1.089*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
9759,-x_1_0,exp(2.865*x_2_0)/(exp(2.865*x_2_0) + 64576732187.6614),Neural,True
9760,-x_1_0,exp(1.494*x_2_0)/(exp(1.494*x_2_0) + 32412.1295322039),Neural,True
9761,-6.956*x_1_0,2.09*x_2_0*(1 - x_1_0),Epidemic,True
9762,-0.619*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
9763,-0.184722557801536*x_1_0*(x_1_0 - 4.908)*(x_1_0 - 1.103) + 0.128,x_1_0*x_2_0/(0.887*x_1_0 + 0.1*x_2_0 + 4.25),Mutualistic,True
9764,1.237*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
9765,-5.895*x_1_0,4.907*x_2_0*(1 - x_1_0),Epidemic,True
9766,1.061*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
9767,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
9768,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
9769,-1.013*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
9770,-4.196*x_1_0,0.318*x_2_0*(1 - x_1_0),Epidemic,True
9771,x_1_0*(1.529 - 0.166*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
9772,x_1_0*(0.007 - 1.127*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
9773,0.58*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
9774,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
9775,9.37800000000000,8.351*sin(x_1_0*x_2_0),Kuramoto,True
9776,-x_1_0,exp(2.21*x_2_0)/(exp(2.21*x_2_0) + 23335.0079716127),Neural,True
9777,6.53600000000000,8.952*sin(x_1_0*x_2_0),Kuramoto,True
9778,-x_1_0,exp(1.601*x_2_0)/(exp(1.601*x_2_0) + 92.0954003404998),Neural,True
9779,x_1_0*(1.038 - 0.181*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
9780,-1.888*x_1_0 + 4.297*tanh(x_1_0),tanh(x_2_0),Excitation,True
9781,9.46100000000000,8.139*sin(x_1_0*x_2_0),Kuramoto,True
9782,-x_1_0,exp(1.341*x_2_0)/(exp(1.341*x_2_0) + 46479.8423621484),Neural,True
9783,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
9784,-1.29*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
9785,-1.866*x_1_0**1.0,x_2_0**2.0,Population,True
9786,0.0,-0.803*x_1_0 + 0.803*x_2_0,Heat,True
9787,-4.803*x_1_0 + 4.668*tanh(x_1_0),tanh(x_2_0),Excitation,True
9788,-2.133*x_1_0 + 3.768*tanh(x_1_0),tanh(x_2_0),Excitation,True
9789,-0.221467461114743*x_1_0*(x_1_0 - 4.216)*(x_1_0 - 1.071) + 0.131,x_1_0*x_2_0/(0.817*x_1_0 + 0.111*x_2_0 + 4.337),Mutualistic,True
9790,9.03700000000000,9.056*sin(x_1_0*x_2_0),Kuramoto,True
9791,0.0,-1.333*x_1_0 + 1.333*x_2_0,Heat,True
9792,-0.221361960452358*x_1_0*(x_1_0 - 5.296)*(x_1_0 - 0.853) + 0.05,x_1_0*x_2_0/(0.952*x_1_0 + 0.111*x_2_0 + 5.088),Mutualistic,True
9793,-1.947*x_1_0,2.012*x_2_0*(1 - x_1_0),Epidemic,True
9794,0.0,-1.647*x_1_0 + 1.647*x_2_0,Heat,True
9795,-0.313168124620871*x_1_0*(x_1_0 - 5.403)*(x_1_0 - 0.591) + 0.133,x_1_0*x_2_0/(0.948*x_1_0 + 0.052*x_2_0 + 5.579),Mutualistic,True
9796,6.34900000000000,9.523*sin(x_1_0*x_2_0),Kuramoto,True
9797,-2.224*x_1_0 + 4.388*tanh(x_1_0),tanh(x_2_0),Excitation,True
9798,-2.415*x_1_0 + 1.758*tanh(x_1_0),tanh(x_2_0),Excitation,True
9799,-0.555*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
9800,5.28600000000000,6.734*sin(x_1_0*x_2_0),Kuramoto,True
9801,-0.275816416593116*x_1_0*(x_1_0 - 5.15)*(x_1_0 - 0.704) + 0.129,x_1_0*x_2_0/(0.952*x_1_0 + 0.143*x_2_0 + 4.381),Mutualistic,True
9802,-1.904*x_1_0,2.815*x_2_0*(1 - x_1_0),Epidemic,True
9803,-0.168734849719681*x_1_0*(x_1_0 - 4.062)*(x_1_0 - 1.459) + 0.119,x_1_0*x_2_0/(0.881*x_1_0 + 0.095*x_2_0 + 4.851),Mutualistic,True
9804,-0.936*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
9805,-0.371156397140314*x_1_0*(x_1_0 - 4.971)*(x_1_0 - 0.542) + 0.142,x_1_0*x_2_0/(0.817*x_1_0 + 0.065*x_2_0 + 4.212),Mutualistic,True
9806,x_1_0*(1.066 - 1.897*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
9807,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
9808,-x_1_0,exp(1.125*x_2_0)/(exp(1.125*x_2_0) + 291.998889739773),Neural,True
9809,-x_1_0,exp(0.306*x_2_0)/(exp(0.306*x_2_0) + 5.7971012028364),Neural,True
9810,0.511*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
9811,-0.351168477993676*x_1_0*(x_1_0 - 5.049)*(x_1_0 - 0.564) + 0.115,x_1_0*x_2_0/(0.971*x_1_0 + 0.073*x_2_0 + 4.267),Mutualistic,True
9812,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
9813,-0.336163719799472*x_1_0*(x_1_0 - 5.519)*(x_1_0 - 0.539) + 0.067,x_1_0*x_2_0/(0.837*x_1_0 + 0.088*x_2_0 + 4.455),Mutualistic,True
9814,-0.195763904033402*x_1_0*(x_1_0 - 4.318)*(x_1_0 - 1.183) + 0.145,x_1_0*x_2_0/(0.947*x_1_0 + 0.126*x_2_0 + 4.909),Mutualistic,True
9815,-3.207*x_1_0,4.418*x_2_0*(1 - x_1_0),Epidemic,True
9816,-0.598*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
9817,0.0,-1.11*x_1_0 + 1.11*x_2_0,Heat,True
9818,-1.373*x_1_0,4.119*x_2_0*(1 - x_1_0),Epidemic,True
9819,-5.235*x_1_0,3.627*x_2_0*(1 - x_1_0),Epidemic,True
9820,-x_1_0,exp(2.165*x_2_0)/(exp(2.165*x_2_0) + 40.0112234097096),Neural,True
9821,-1.564*x_1_0**1.0,x_2_0**2.0,Population,True
9822,-1.416*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
9823,-2.043*x_1_0,0.163*x_2_0*(1 - x_1_0),Epidemic,True
9824,-5.723*x_1_0,1.179*x_2_0*(1 - x_1_0),Epidemic,True
9825,-2.141*x_1_0 + 2.833*tanh(x_1_0),tanh(x_2_0),Excitation,True
9826,6.87800000000000,9.681*sin(x_1_0*x_2_0),Kuramoto,True
9827,-1.217*x_1_0**1.0,x_2_0**1.0,Population,True
9828,-1.683*x_1_0**3.0,x_2_0**2.0,Population,True
9829,-0.237*x_1_0**1.0,x_2_0**1.0,Population,True
9830,0.0,-1.429*x_1_0 + 1.429*x_2_0,Heat,True
9831,0.0,-1.891*x_1_0 + 1.891*x_2_0,Heat,True
9832,1.013*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
9833,x_1_0*(1.327 - 1.332*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
9834,-0.601*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
9835,-1.979*x_1_0,2.713*x_2_0*(1 - x_1_0),Epidemic,True
9836,-x_1_0,exp(0.772*x_2_0)/(exp(0.772*x_2_0) + 101.067438303495),Neural,True
9837,-1.265*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
9838,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
9839,-x_1_0,exp(1.911*x_2_0)/(exp(1.911*x_2_0) + 11570.9855724029),Neural,True
9840,-4.962*x_1_0,4.585*x_2_0*(1 - x_1_0),Epidemic,True
9841,1.203*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
9842,x_1_0*(1.704 - 0.93*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
9843,x_1_0*(1.218 - 0.611*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
9844,7.94300000000000,8.003*sin(x_1_0*x_2_0),Kuramoto,True
9845,-1.472*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
9846,0.0,-0.797*x_1_0 + 0.797*x_2_0,Heat,True
9847,1.142*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
9848,-3.529*x_1_0 + 2.609*tanh(x_1_0),tanh(x_2_0),Excitation,True
9849,9.60900000000000,7.442*sin(x_1_0*x_2_0),Kuramoto,True
9850,-1.837*x_1_0 + 2.46*tanh(x_1_0),tanh(x_2_0),Excitation,True
9851,-0.567*x_1_0**3.0,x_2_0**1.0,Population,True
9852,-0.921*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
9853,1.017*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
9854,-1.248*x_1_0**1.0,x_2_0**1.0,Population,True
9855,-0.187850576137717*x_1_0*(x_1_0 - 4.335)*(x_1_0 - 1.228) + 0.081,x_1_0*x_2_0/(0.978*x_1_0 + 0.136*x_2_0 + 4.352),Mutualistic,True
9856,-x_1_0,exp(1.788*x_2_0)/(exp(1.788*x_2_0) + 3970585.01202533),Neural,True
9857,-0.534*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
9858,-0.207619640818021*x_1_0*(x_1_0 - 4.875)*(x_1_0 - 0.988) + 0.052,x_1_0*x_2_0/(0.868*x_1_0 + 0.11*x_2_0 + 4.73),Mutualistic,True
9859,-2.572*x_1_0,2.042*x_2_0*(1 - x_1_0),Epidemic,True
9860,x_1_0*(0.305 - 1.523*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
9861,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
9862,-0.214069870693235*x_1_0*(x_1_0 - 4.034)*(x_1_0 - 1.158) + 0.132,x_1_0*x_2_0/(0.803*x_1_0 + 0.149*x_2_0 + 4.141),Mutualistic,True
9863,-0.717*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
9864,-x_1_0,exp(1.921*x_2_0)/(exp(1.921*x_2_0) + 10322608.0075418),Neural,True
9865,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
9866,1.378*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
9867,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
9868,0.0,-1.922*x_1_0 + 1.922*x_2_0,Heat,True
9869,-4.712*x_1_0 + 3.525*tanh(x_1_0),tanh(x_2_0),Excitation,True
9870,x_1_0*(1.294 - 0.43*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
9871,-1.243*x_1_0 + 2.03*tanh(x_1_0),tanh(x_2_0),Excitation,True
9872,0.707*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
9873,-4.166*x_1_0 + 3.935*tanh(x_1_0),tanh(x_2_0),Excitation,True
9874,-0.686*x_1_0**1.0,x_2_0**2.0,Population,True
9875,-0.195486567042802*x_1_0*(x_1_0 - 5.997)*(x_1_0 - 0.853) + 0.138,x_1_0*x_2_0/(0.918*x_1_0 + 0.06*x_2_0 + 5.672),Mutualistic,True
9876,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
9877,-1.995*x_1_0**3.0,x_2_0**2.0,Population,True
9878,-1.724*x_1_0**3.0,x_2_0**1.0,Population,True
9879,-x_1_0,exp(0.411*x_2_0)/(exp(0.411*x_2_0) + 21.4660152825238),Neural,True
9880,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
9881,-0.857*x_1_0**3.0,x_2_0**2.0,Population,True
9882,-6.196*x_1_0,1.046*x_2_0*(1 - x_1_0),Epidemic,True
9883,0.0,-1.709*x_1_0 + 1.709*x_2_0,Heat,True
9884,-0.146032302345279*x_1_0*(x_1_0 - 5.65)*(x_1_0 - 1.212) + 0.13,x_1_0*x_2_0/(0.889*x_1_0 + 0.054*x_2_0 + 4.668),Mutualistic,True
9885,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
9886,-0.485*x_1_0**3.0,x_2_0**2.0,Population,True
9887,-0.159489277057436*x_1_0*(x_1_0 - 5.438)*(x_1_0 - 1.153) + 0.086,x_1_0*x_2_0/(0.873*x_1_0 + 0.076*x_2_0 + 5.774),Mutualistic,True
9888,x_1_0*(0.677 - 1.357*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
9889,0.0,-1.603*x_1_0 + 1.603*x_2_0,Heat,True
9890,-0.172176308539945*x_1_0*(x_1_0 - 4.125)*(x_1_0 - 1.408) + 0.143,x_1_0*x_2_0/(0.945*x_1_0 + 0.135*x_2_0 + 5.311),Mutualistic,True
9891,-0.647*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
9892,-1.056*x_1_0**1.0,x_2_0**1.0,Population,True
9893,-0.214976279517318*x_1_0*(x_1_0 - 4.556)*(x_1_0 - 1.021) + 0.078,x_1_0*x_2_0/(0.884*x_1_0 + 0.139*x_2_0 + 4.333),Mutualistic,True
9894,-0.551*x_1_0**3.0,x_2_0**2.0,Population,True
9895,0.0,-1.793*x_1_0 + 1.793*x_2_0,Heat,True
9896,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
9897,-2.651*x_1_0 + 3.745*tanh(x_1_0),tanh(x_2_0),Excitation,True
9898,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
9899,0.0,-0.592*x_1_0 + 0.592*x_2_0,Heat,True
9900,-0.235*x_1_0**1.0,x_2_0**2.0,Population,True
9901,-1.36*x_1_0**1.0,x_2_0**1.0,Population,True
9902,5.19900000000000,7.218*sin(x_1_0*x_2_0),Kuramoto,True
9903,0.957*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
9904,-6.163*x_1_0,0.863*x_2_0*(1 - x_1_0),Epidemic,True
9905,-1.223*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
9906,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
9907,-0.896*x_1_0**1.0,x_2_0**2.0,Population,True
9908,-1.095*x_1_0 + 3.64*tanh(x_1_0),tanh(x_2_0),Excitation,True
9909,-1.046*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
9910,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
9911,-0.265090263234631*x_1_0*(x_1_0 - 4.438)*(x_1_0 - 0.85) + 0.1,x_1_0*x_2_0/(0.854*x_1_0 + 0.136*x_2_0 + 4.999),Mutualistic,True
9912,-1.329*x_1_0**1.0,x_2_0**1.0,Population,True
9913,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
9914,-4.005*x_1_0 + 4.753*tanh(x_1_0),tanh(x_2_0),Excitation,True
9915,-6.162*x_1_0,2.589*x_2_0*(1 - x_1_0),Epidemic,True
9916,0.993*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
9917,-0.313234731216409*x_1_0*(x_1_0 - 5.794)*(x_1_0 - 0.551) + 0.141,x_1_0*x_2_0/(0.993*x_1_0 + 0.114*x_2_0 + 4.275),Mutualistic,True
9918,-3.21*x_1_0 + 2.005*tanh(x_1_0),tanh(x_2_0),Excitation,True
9919,-x_1_0,exp(0.444*x_2_0)/(exp(0.444*x_2_0) + 47.6407267781783),Neural,True
9920,1.105*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
9921,1.093*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
9922,1.148*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
9923,x_1_0*(1.625 - 0.042*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
9924,6.19600000000000,7.065*sin(x_1_0*x_2_0),Kuramoto,True
9925,1.317*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
9926,-7.833*x_1_0,1.318*x_2_0*(1 - x_1_0),Epidemic,True
9927,x_1_0*(1.459 - 1.909*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
9928,0.0,-1.965*x_1_0 + 1.965*x_2_0,Heat,True
9929,-1.144*x_1_0,1.149*x_2_0*(1 - x_1_0),Epidemic,True
9930,-x_1_0,exp(1.856*x_2_0)/(exp(1.856*x_2_0) + 652.722449584075),Neural,True
9931,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
9932,6.88500000000000,8.098*sin(x_1_0*x_2_0),Kuramoto,True
9933,-0.18491124260355*x_1_0*(x_1_0 - 5.2)*(x_1_0 - 1.04) + 0.136,x_1_0*x_2_0/(0.8*x_1_0 + 0.13*x_2_0 + 4.613),Mutualistic,True
9934,-x_1_0,exp(1.573*x_2_0)/(exp(1.573*x_2_0) + 18.5317967503964),Neural,True
9935,0.857*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
9936,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
9937,-0.180918523343012*x_1_0*(x_1_0 - 5.325)*(x_1_0 - 1.038) + 0.112,x_1_0*x_2_0/(0.893*x_1_0 + 0.098*x_2_0 + 4.916),Mutualistic,True
9938,1.295*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
9939,-1.49*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
9940,-4.566*x_1_0,3.7*x_2_0*(1 - x_1_0),Epidemic,True
9941,-0.603*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
9942,-4.841*x_1_0 + 4.307*tanh(x_1_0),tanh(x_2_0),Excitation,True
9943,9.01500000000000,9.571*sin(x_1_0*x_2_0),Kuramoto,True
9944,7.36900000000000,8.95*sin(x_1_0*x_2_0),Kuramoto,True
9945,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
9946,-5.805*x_1_0,0.924*x_2_0*(1 - x_1_0),Epidemic,True
9947,-4.403*x_1_0 + 4.535*tanh(x_1_0),tanh(x_2_0),Excitation,True
9948,x_1_0*(0.375 - 1.021*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
9949,x_1_0*(0.482 - 1.714*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
9950,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
9951,0.0,-0.815*x_1_0 + 0.815*x_2_0,Heat,True
9952,-0.168544846159849*x_1_0*(x_1_0 - 4.353)*(x_1_0 - 1.363) + 0.103,x_1_0*x_2_0/(0.99*x_1_0 + 0.127*x_2_0 + 4.18),Mutualistic,True
9953,0.804*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
9954,-1.314*x_1_0**3.0,x_2_0**1.0,Population,True
9955,-1.147*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
9956,-7.624*x_1_0,3.504*x_2_0*(1 - x_1_0),Epidemic,True
9957,5.56700000000000,6.355*sin(x_1_0*x_2_0),Kuramoto,True
9958,5.65600000000000,9.252*sin(x_1_0*x_2_0),Kuramoto,True
9959,9.54700000000000,5.306*sin(x_1_0*x_2_0),Kuramoto,True
9960,-1.886*x_1_0**1.0,x_2_0**2.0,Population,True
9961,-4.128*x_1_0 + 1.629*tanh(x_1_0),tanh(x_2_0),Excitation,True
9962,x_1_0*(1.859 - 1.521*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
9963,1.307*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
9964,x_1_0*(0.269 - 0.996*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
9965,-0.864*x_1_0**1.0,x_2_0**1.0,Population,True
9966,-3.254*x_1_0 + 3.206*tanh(x_1_0),tanh(x_2_0),Excitation,True
9967,0.0,-1.609*x_1_0 + 1.609*x_2_0,Heat,True
9968,-3.249*x_1_0,2.279*x_2_0*(1 - x_1_0),Epidemic,True
9969,1.244*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
9970,-5.458*x_1_0,0.871*x_2_0*(1 - x_1_0),Epidemic,True
9971,9.97100000000000,8.635*sin(x_1_0*x_2_0),Kuramoto,True
9972,0.0,-0.972*x_1_0 + 0.972*x_2_0,Heat,True
9973,-1.371*x_1_0**2.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
9974,9.91800000000000,6.337*sin(x_1_0*x_2_0),Kuramoto,True
9975,-1.589*x_1_0 + 2.402*tanh(x_1_0),tanh(x_2_0),Excitation,True
9976,-0.21559065371398*x_1_0*(x_1_0 - 4.236)*(x_1_0 - 1.095) + 0.124,x_1_0*x_2_0/(0.957*x_1_0 + 0.087*x_2_0 + 5.603),Mutualistic,True
9977,-0.192566917003659*x_1_0*(x_1_0 - 5.77)*(x_1_0 - 0.9) + 0.065,x_1_0*x_2_0/(0.872*x_1_0 + 0.078*x_2_0 + 5.438),Mutualistic,True
9978,-2.504*x_1_0 + 2.439*tanh(x_1_0),tanh(x_2_0),Excitation,True
9979,0.0,-1.339*x_1_0 + 1.339*x_2_0,Heat,True
9980,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
9981,-0.872*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
9982,-7.981*x_1_0,0.825*x_2_0*(1 - x_1_0),Epidemic,True
9983,-2.567*x_1_0 + 2.411*tanh(x_1_0),tanh(x_2_0),Excitation,True
9984,-1.336*x_1_0**1.0,x_2_0**1.0,Population,True
9985,-4.441*x_1_0,0.089*x_2_0*(1 - x_1_0),Epidemic,True
9986,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
9987,-3.252*x_1_0,0.636*x_2_0*(1 - x_1_0),Epidemic,True
9988,-x_1_0,exp(0.777*x_2_0)/(exp(0.777*x_2_0) + 39.6105303167342),Neural,True
9989,x_1_0*(1.165 - 0.617*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
9990,-3.867*x_1_0 + 4.435*tanh(x_1_0),tanh(x_2_0),Excitation,True
9991,8.08700000000000,7.777*sin(x_1_0*x_2_0),Kuramoto,True
9992,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
9993,0.797*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
9994,0.811*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
9995,x_1_0*(0.143 - 0.128*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
9996,x_1_0*(0.326 - 0.278*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
9997,0.658*x_1_0*(1 - x_1_0**2),1.0*x_1_0*x_2_0/(x_2_0 + 1),Mutualistic2,True
9998,5.94600000000000,8.06*sin(x_1_0*x_2_0),Kuramoto,True
9999,0.0,-0.711*x_1_0 + 0.711*x_2_0,Heat,True
10000,-1.448*x_1_0**1.0,x_2_0**2.0/(x_2_0**2.0 + 1),Gene,True
10001,x_1_0*(0.581 - 0.037*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
10002,-x_1_0**3 + x_1_0,x_1_0*x_2_0/(x_2_0 + 1),Plant,True
10003,7.14300000000000,8.532*sin(x_1_0*x_2_0),Kuramoto,True
10004,9.01500000000000,7.488*sin(x_1_0*x_2_0),Kuramoto,True
10005,x_1_0*(0.597 - 0.165*x_1_0),-x_1_0*x_2_0,Lotka_Volterra,True
10006,-0.348952444760828*x_1_0*(x_1_0 - 4.342)*(x_1_0 - 0.66) + 0.057,x_1_0*x_2_0/(0.916*x_1_0 + 0.095*x_2_0 + 4.257),Mutualistic,True
