,F_equation_0,F_equation_1,G_equation_0,G_equation_1,type,state
2992,0.279*x_1_1,-0.183*x_1_1,-0.133*x_1_0*x_2_1,0.15*x_1_0*x_2_1,SIS,True
2993,0.248*x_1_1,-0.35*x_1_1,-0.142*x_1_0*x_2_1,0.021*x_1_0*x_2_1,SIS,True
2994,0.0,0.0,-0.157*x_1_0*x_2_1,0.05*x_1_0*x_2_1,SI,True
2995,0.281*x_1_1,-0.244*x_1_1,-0.112*x_1_0*x_2_1,0.183*x_1_0*x_2_1,SIS,True
2996,0.0,0.0,-0.152*x_1_0*x_2_1,0.166*x_1_0*x_2_1,SI,True
2997,-x_1_0**3 + x_1_0 - x_1_1,0.655*x_1_0 + 0.011*x_1_1 + 0.38,1.094*x_1_0 - 1.094*x_2_0,0.0,FitzHughNagumo,True
2998,0.12*x_1_1,-0.318*x_1_1,-0.097*x_1_0*x_2_1,0.128*x_1_0*x_2_1,SIS,True
2999,0.0,0.0,-0.174*x_1_0*x_2_1,0.049*x_1_0*x_2_1,SI,True
3000,0.0,0.0,-0.146*x_1_0*x_2_1,0.122*x_1_0*x_2_1,SI,True
3001,-x_1_0**3 + x_1_0 - x_1_1,0.331*x_1_0 + 0.021*x_1_1 + 0.143,0.946*x_1_0 - 0.946*x_2_0,0.0,FitzHughNagumo,True
3002,-x_1_0**3 + x_1_0 - x_1_1,0.987*x_1_0 + 0.012*x_1_1 + 0.352,0.562*x_1_0 - 0.562*x_2_0,0.0,FitzHughNagumo,True
3003,-x_1_0**3 + x_1_0 - x_1_1,0.94*x_1_0 + 0.014*x_1_1 + 0.374,1.239*x_1_0 - 1.239*x_2_0,0.0,FitzHughNagumo,True
3004,0.222*x_1_1,-0.382*x_1_1,-0.103*x_1_0*x_2_1,0.18*x_1_0*x_2_1,SIS,True
3005,-x_1_0**3 + x_1_0 - x_1_1,0.886*x_1_0 + 0.048*x_1_1 + 0.131,0.702*x_1_0 - 0.702*x_2_0,0.0,FitzHughNagumo,True
3006,0.0,0.0,-0.052*x_1_0*x_2_1,0.124*x_1_0*x_2_1,SI,True
3007,-x_1_0**3 + x_1_0 - x_1_1,0.449*x_1_0 + 0.011*x_1_1 + 0.479,1.275*x_1_0 - 1.275*x_2_0,0.0,FitzHughNagumo,True
3008,0.0,0.0,-0.182*x_1_0*x_2_1,0.187*x_1_0*x_2_1,SI,True
3009,-x_1_0**3 + x_1_0 - x_1_1,0.836*x_1_0 + 0.015*x_1_1 + 0.278,0.871*x_1_0 - 0.871*x_2_0,0.0,FitzHughNagumo,True
3010,-x_1_0**3 + x_1_0 - x_1_1,0.161*x_1_0 + 0.047*x_1_1 + 0.411,0.618*x_1_0 - 0.618*x_2_0,0.0,FitzHughNagumo,True
3011,-x_1_0**3 + x_1_0 - x_1_1,0.873*x_1_0 + 0.041*x_1_1 + 0.454,1.112*x_1_0 - 1.112*x_2_0,0.0,FitzHughNagumo,True
3012,-x_1_0**3 + x_1_0 - x_1_1,0.62*x_1_0 + 0.017*x_1_1 + 0.438,0.969*x_1_0 - 0.969*x_2_0,0.0,FitzHughNagumo,True
3013,0.0,0.0,-0.109*x_1_0*x_2_1,0.052*x_1_0*x_2_1,SI,True
3014,0.0,0.0,-0.072*x_1_0*x_2_1,0.108*x_1_0*x_2_1,SI,True
3015,-x_1_0**3 + x_1_0 - x_1_1,0.211*x_1_0 + 0.047*x_1_1 + 0.3,1.061*x_1_0 - 1.061*x_2_0,0.0,FitzHughNagumo,True
3016,0.0,0.0,-0.107*x_1_0*x_2_1,0.127*x_1_0*x_2_1,SI,True
3017,0.308*x_1_1,-0.204*x_1_1,-0.156*x_1_0*x_2_1,0.186*x_1_0*x_2_1,SIS,True
3018,0.115*x_1_1,-0.36*x_1_1,-0.189*x_1_0*x_2_1,0.133*x_1_0*x_2_1,SIS,True
3019,0.0,0.0,-0.039*x_1_0*x_2_1,0.038*x_1_0*x_2_1,SI,True
3020,0.101*x_1_1,-0.109*x_1_1,-0.062*x_1_0*x_2_1,0.158*x_1_0*x_2_1,SIS,True
3021,0.283*x_1_1,-0.106*x_1_1,-0.149*x_1_0*x_2_1,0.046*x_1_0*x_2_1,SIS,True
3022,0.169*x_1_1,-0.114*x_1_1,-0.11*x_1_0*x_2_1,0.117*x_1_0*x_2_1,SIS,True
3023,0.194*x_1_1,-0.157*x_1_1,-0.022*x_1_0*x_2_1,0.104*x_1_0*x_2_1,SIS,True
3024,-x_1_0**3 + x_1_0 - x_1_1,0.823*x_1_0 + 0.044*x_1_1 + 0.184,1.163*x_1_0 - 1.163*x_2_0,0.0,FitzHughNagumo,True
3025,-x_1_0**3 + x_1_0 - x_1_1,0.882*x_1_0 + 0.013*x_1_1 + 0.268,0.963*x_1_0 - 0.963*x_2_0,0.0,FitzHughNagumo,True
3026,-x_1_0**3 + x_1_0 - x_1_1,0.901*x_1_0 + 0.047*x_1_1 + 0.367,0.956*x_1_0 - 0.956*x_2_0,0.0,FitzHughNagumo,True
3027,0.379*x_1_1,-0.189*x_1_1,-0.167*x_1_0*x_2_1,0.125*x_1_0*x_2_1,SIS,True
3028,0.283*x_1_1,-0.316*x_1_1,-0.109*x_1_0*x_2_1,0.091*x_1_0*x_2_1,SIS,True
3029,-x_1_0**3 + x_1_0 - x_1_1,0.172*x_1_0 + 0.044*x_1_1 + 0.31,0.636*x_1_0 - 0.636*x_2_0,0.0,FitzHughNagumo,True
3030,0.0,0.0,-0.096*x_1_0*x_2_1,0.031*x_1_0*x_2_1,SI,True
3031,0.118*x_1_1,-0.284*x_1_1,-0.197*x_1_0*x_2_1,0.081*x_1_0*x_2_1,SIS,True
3032,0.0,0.0,-0.089*x_1_0*x_2_1,0.032*x_1_0*x_2_1,SI,True
3033,0.0,0.0,-0.129*x_1_0*x_2_1,0.184*x_1_0*x_2_1,SI,True
3034,0.0,0.0,-0.026*x_1_0*x_2_1,0.061*x_1_0*x_2_1,SI,True
3035,0.138*x_1_1,-0.345*x_1_1,-0.094*x_1_0*x_2_1,0.045*x_1_0*x_2_1,SIS,True
3036,-x_1_0**3 + x_1_0 - x_1_1,0.512*x_1_0 + 0.026*x_1_1 + 0.487,1.41*x_1_0 - 1.41*x_2_0,0.0,FitzHughNagumo,True
3037,0.283*x_1_1,-0.249*x_1_1,-0.085*x_1_0*x_2_1,0.045*x_1_0*x_2_1,SIS,True
3038,0.0,0.0,-0.027*x_1_0*x_2_1,0.124*x_1_0*x_2_1,SI,True
3039,-x_1_0**3 + x_1_0 - x_1_1,0.776*x_1_0 + 0.049*x_1_1 + 0.412,0.929*x_1_0 - 0.929*x_2_0,0.0,FitzHughNagumo,True
3040,0.0,0.0,-0.05*x_1_0*x_2_1,0.125*x_1_0*x_2_1,SI,True
3041,0.0,0.0,-0.045*x_1_0*x_2_1,0.155*x_1_0*x_2_1,SI,True
3042,-x_1_0**3 + x_1_0 - x_1_1,0.486*x_1_0 + 0.041*x_1_1 + 0.363,0.876*x_1_0 - 0.876*x_2_0,0.0,FitzHughNagumo,True
3043,0.102*x_1_1,-0.263*x_1_1,-0.196*x_1_0*x_2_1,0.095*x_1_0*x_2_1,SIS,True
3044,0.0,0.0,-0.034*x_1_0*x_2_1,0.031*x_1_0*x_2_1,SI,True
3045,0.347*x_1_1,-0.319*x_1_1,-0.041*x_1_0*x_2_1,0.098*x_1_0*x_2_1,SIS,True
3046,0.0,0.0,-0.122*x_1_0*x_2_1,0.065*x_1_0*x_2_1,SI,True
3047,0.0,0.0,-0.101*x_1_0*x_2_1,0.117*x_1_0*x_2_1,SI,True
3048,-x_1_0**3 + x_1_0 - x_1_1,0.914*x_1_0 + 0.042*x_1_1 + 0.236,0.869*x_1_0 - 0.869*x_2_0,0.0,FitzHughNagumo,True
3049,0.249*x_1_1,-0.127*x_1_1,-0.159*x_1_0*x_2_1,0.046*x_1_0*x_2_1,SIS,True
3050,-x_1_0**3 + x_1_0 - x_1_1,0.734*x_1_0 + 0.048*x_1_1 + 0.335,0.875*x_1_0 - 0.875*x_2_0,0.0,FitzHughNagumo,True
3051,-x_1_0**3 + x_1_0 - x_1_1,0.945*x_1_0 + 0.036*x_1_1 + 0.223,0.556*x_1_0 - 0.556*x_2_0,0.0,FitzHughNagumo,True
3052,-x_1_0**3 + x_1_0 - x_1_1,0.163*x_1_0 + 0.045*x_1_1 + 0.485,0.706*x_1_0 - 0.706*x_2_0,0.0,FitzHughNagumo,True
3053,0.0,0.0,-0.035*x_1_0*x_2_1,0.075*x_1_0*x_2_1,SI,True
3054,0.309*x_1_1,-0.174*x_1_1,-0.134*x_1_0*x_2_1,0.128*x_1_0*x_2_1,SIS,True
3055,0.0,0.0,-0.139*x_1_0*x_2_1,0.107*x_1_0*x_2_1,SI,True
3056,-x_1_0**3 + x_1_0 - x_1_1,0.384*x_1_0 + 0.044*x_1_1 + 0.134,0.541*x_1_0 - 0.541*x_2_0,0.0,FitzHughNagumo,True
3057,0.0,0.0,-0.178*x_1_0*x_2_1,0.166*x_1_0*x_2_1,SI,True
3058,0.0,0.0,-0.093*x_1_0*x_2_1,0.139*x_1_0*x_2_1,SI,True
3059,0.316*x_1_1,-0.159*x_1_1,-0.1*x_1_0*x_2_1,0.149*x_1_0*x_2_1,SIS,True
3060,-x_1_0**3 + x_1_0 - x_1_1,0.898*x_1_0 + 0.017*x_1_1 + 0.175,0.939*x_1_0 - 0.939*x_2_0,0.0,FitzHughNagumo,True
3061,-x_1_0**3 + x_1_0 - x_1_1,0.686*x_1_0 + 0.037*x_1_1 + 0.415,1.47*x_1_0 - 1.47*x_2_0,0.0,FitzHughNagumo,True
3062,-x_1_0**3 + x_1_0 - x_1_1,0.6*x_1_0 + 0.036*x_1_1 + 0.198,0.606*x_1_0 - 0.606*x_2_0,0.0,FitzHughNagumo,True
3063,-x_1_0**3 + x_1_0 - x_1_1,0.855*x_1_0 + 0.029*x_1_1 + 0.484,0.687*x_1_0 - 0.687*x_2_0,0.0,FitzHughNagumo,True
3064,0.0,0.0,-0.149*x_1_0*x_2_1,0.148*x_1_0*x_2_1,SI,True
3065,0.366*x_1_1,-0.398*x_1_1,-0.164*x_1_0*x_2_1,0.077*x_1_0*x_2_1,SIS,True
3066,0.125*x_1_1,-0.106*x_1_1,-0.181*x_1_0*x_2_1,0.143*x_1_0*x_2_1,SIS,True
3067,0.37*x_1_1,-0.228*x_1_1,-0.021*x_1_0*x_2_1,0.04*x_1_0*x_2_1,SIS,True
3068,0.0,0.0,-0.077*x_1_0*x_2_1,0.086*x_1_0*x_2_1,SI,True
3069,0.195*x_1_1,-0.345*x_1_1,-0.185*x_1_0*x_2_1,0.18*x_1_0*x_2_1,SIS,True
3070,0.0,0.0,-0.042*x_1_0*x_2_1,0.167*x_1_0*x_2_1,SI,True
3071,-x_1_0**3 + x_1_0 - x_1_1,0.946*x_1_0 + 0.01*x_1_1 + 0.218,1.427*x_1_0 - 1.427*x_2_0,0.0,FitzHughNagumo,True
3072,0.381*x_1_1,-0.371*x_1_1,-0.039*x_1_0*x_2_1,0.046*x_1_0*x_2_1,SIS,True
3073,0.289*x_1_1,-0.337*x_1_1,-0.185*x_1_0*x_2_1,0.09*x_1_0*x_2_1,SIS,True
3074,0.0,0.0,-0.068*x_1_0*x_2_1,0.062*x_1_0*x_2_1,SI,True
3075,0.0,0.0,-0.043*x_1_0*x_2_1,0.039*x_1_0*x_2_1,SI,True
3076,0.0,0.0,-0.166*x_1_0*x_2_1,0.069*x_1_0*x_2_1,SI,True
3077,0.139*x_1_1,-0.27*x_1_1,-0.134*x_1_0*x_2_1,0.148*x_1_0*x_2_1,SIS,True
3078,0.0,0.0,-0.073*x_1_0*x_2_1,0.09*x_1_0*x_2_1,SI,True
3079,-x_1_0**3 + x_1_0 - x_1_1,0.307*x_1_0 + 0.044*x_1_1 + 0.311,1.156*x_1_0 - 1.156*x_2_0,0.0,FitzHughNagumo,True
3080,0.0,0.0,-0.044*x_1_0*x_2_1,0.187*x_1_0*x_2_1,SI,True
3081,0.0,0.0,-0.075*x_1_0*x_2_1,0.187*x_1_0*x_2_1,SI,True
3082,-x_1_0**3 + x_1_0 - x_1_1,0.372*x_1_0 + 0.011*x_1_1 + 0.406,1.381*x_1_0 - 1.381*x_2_0,0.0,FitzHughNagumo,True
3083,-x_1_0**3 + x_1_0 - x_1_1,0.474*x_1_0 + 0.029*x_1_1 + 0.32,1.141*x_1_0 - 1.141*x_2_0,0.0,FitzHughNagumo,True
3084,0.398*x_1_1,-0.322*x_1_1,-0.187*x_1_0*x_2_1,0.101*x_1_0*x_2_1,SIS,True
3085,0.128*x_1_1,-0.215*x_1_1,-0.139*x_1_0*x_2_1,0.044*x_1_0*x_2_1,SIS,True
3086,0.0,0.0,-0.034*x_1_0*x_2_1,0.092*x_1_0*x_2_1,SI,True
3087,0.201*x_1_1,-0.2*x_1_1,-0.194*x_1_0*x_2_1,0.127*x_1_0*x_2_1,SIS,True
3088,-x_1_0**3 + x_1_0 - x_1_1,0.938*x_1_0 + 0.045*x_1_1 + 0.116,1.124*x_1_0 - 1.124*x_2_0,0.0,FitzHughNagumo,True
3089,0.108*x_1_1,-0.173*x_1_1,-0.106*x_1_0*x_2_1,0.041*x_1_0*x_2_1,SIS,True
3090,0.188*x_1_1,-0.119*x_1_1,-0.078*x_1_0*x_2_1,0.046*x_1_0*x_2_1,SIS,True
3091,0.38*x_1_1,-0.11*x_1_1,-0.159*x_1_0*x_2_1,0.08*x_1_0*x_2_1,SIS,True
3092,-x_1_0**3 + x_1_0 - x_1_1,0.594*x_1_0 + 0.045*x_1_1 + 0.434,1.257*x_1_0 - 1.257*x_2_0,0.0,FitzHughNagumo,True
3093,0.0,0.0,-0.123*x_1_0*x_2_1,0.178*x_1_0*x_2_1,SI,True
3094,0.397*x_1_1,-0.101*x_1_1,-0.119*x_1_0*x_2_1,0.037*x_1_0*x_2_1,SIS,True
3095,0.323*x_1_1,-0.29*x_1_1,-0.113*x_1_0*x_2_1,0.021*x_1_0*x_2_1,SIS,True
3096,0.0,0.0,-0.181*x_1_0*x_2_1,0.131*x_1_0*x_2_1,SI,True
3097,-x_1_0**3 + x_1_0 - x_1_1,0.383*x_1_0 + 0.03*x_1_1 + 0.469,1.316*x_1_0 - 1.316*x_2_0,0.0,FitzHughNagumo,True
3098,0.0,0.0,-0.085*x_1_0*x_2_1,0.129*x_1_0*x_2_1,SI,True
3099,-x_1_0**3 + x_1_0 - x_1_1,0.166*x_1_0 + 0.021*x_1_1 + 0.342,1.376*x_1_0 - 1.376*x_2_0,0.0,FitzHughNagumo,True
3100,-x_1_0**3 + x_1_0 - x_1_1,0.791*x_1_0 + 0.047*x_1_1 + 0.489,1.487*x_1_0 - 1.487*x_2_0,0.0,FitzHughNagumo,True
3101,-x_1_0**3 + x_1_0 - x_1_1,0.38*x_1_0 + 0.039*x_1_1 + 0.164,1.379*x_1_0 - 1.379*x_2_0,0.0,FitzHughNagumo,True
3102,-x_1_0**3 + x_1_0 - x_1_1,0.723*x_1_0 + 0.016*x_1_1 + 0.197,0.721*x_1_0 - 0.721*x_2_0,0.0,FitzHughNagumo,True
3103,0.0,0.0,-0.075*x_1_0*x_2_1,0.043*x_1_0*x_2_1,SI,True
3104,-x_1_0**3 + x_1_0 - x_1_1,0.472*x_1_0 + 0.039*x_1_1 + 0.448,0.667*x_1_0 - 0.667*x_2_0,0.0,FitzHughNagumo,True
3105,0.0,0.0,-0.179*x_1_0*x_2_1,0.183*x_1_0*x_2_1,SI,True
3106,0.181*x_1_1,-0.357*x_1_1,-0.065*x_1_0*x_2_1,0.053*x_1_0*x_2_1,SIS,True
3107,-x_1_0**3 + x_1_0 - x_1_1,0.828*x_1_0 + 0.01*x_1_1 + 0.372,0.963*x_1_0 - 0.963*x_2_0,0.0,FitzHughNagumo,True
3108,0.226*x_1_1,-0.398*x_1_1,-0.182*x_1_0*x_2_1,0.12*x_1_0*x_2_1,SIS,True
3109,0.0,0.0,-0.054*x_1_0*x_2_1,0.149*x_1_0*x_2_1,SI,True
3110,0.167*x_1_1,-0.325*x_1_1,-0.054*x_1_0*x_2_1,0.028*x_1_0*x_2_1,SIS,True
3111,0.0,0.0,-0.078*x_1_0*x_2_1,0.177*x_1_0*x_2_1,SI,True
3112,-x_1_0**3 + x_1_0 - x_1_1,0.941*x_1_0 + 0.038*x_1_1 + 0.332,1.172*x_1_0 - 1.172*x_2_0,0.0,FitzHughNagumo,True
3113,0.0,0.0,-0.187*x_1_0*x_2_1,0.114*x_1_0*x_2_1,SI,True
3114,0.0,0.0,-0.131*x_1_0*x_2_1,0.194*x_1_0*x_2_1,SI,True
3115,0.394*x_1_1,-0.209*x_1_1,-0.138*x_1_0*x_2_1,0.199*x_1_0*x_2_1,SIS,True
3116,0.388*x_1_1,-0.176*x_1_1,-0.142*x_1_0*x_2_1,0.181*x_1_0*x_2_1,SIS,True
3117,-x_1_0**3 + x_1_0 - x_1_1,0.12*x_1_0 + 0.036*x_1_1 + 0.35,0.534*x_1_0 - 0.534*x_2_0,0.0,FitzHughNagumo,True
3118,-x_1_0**3 + x_1_0 - x_1_1,0.754*x_1_0 + 0.028*x_1_1 + 0.389,1.459*x_1_0 - 1.459*x_2_0,0.0,FitzHughNagumo,True
3119,0.0,0.0,-0.045*x_1_0*x_2_1,0.173*x_1_0*x_2_1,SI,True
3120,0.0,0.0,-0.153*x_1_0*x_2_1,0.12*x_1_0*x_2_1,SI,True
3121,0.0,0.0,-0.057*x_1_0*x_2_1,0.124*x_1_0*x_2_1,SI,True
3122,0.0,0.0,-0.028*x_1_0*x_2_1,0.133*x_1_0*x_2_1,SI,True
3123,0.176*x_1_1,-0.327*x_1_1,-0.12*x_1_0*x_2_1,0.094*x_1_0*x_2_1,SIS,True
3124,0.0,0.0,-0.089*x_1_0*x_2_1,0.188*x_1_0*x_2_1,SI,True
3125,0.0,0.0,-0.057*x_1_0*x_2_1,0.168*x_1_0*x_2_1,SI,True
3126,0.13*x_1_1,-0.384*x_1_1,-0.114*x_1_0*x_2_1,0.199*x_1_0*x_2_1,SIS,True
3127,0.0,0.0,-0.159*x_1_0*x_2_1,0.119*x_1_0*x_2_1,SI,True
3128,0.0,0.0,-0.082*x_1_0*x_2_1,0.19*x_1_0*x_2_1,SI,True
3129,0.16*x_1_1,-0.254*x_1_1,-0.193*x_1_0*x_2_1,0.178*x_1_0*x_2_1,SIS,True
3130,-x_1_0**3 + x_1_0 - x_1_1,0.14*x_1_0 + 0.05*x_1_1 + 0.307,0.589*x_1_0 - 0.589*x_2_0,0.0,FitzHughNagumo,True
3131,0.0,0.0,-0.061*x_1_0*x_2_1,0.039*x_1_0*x_2_1,SI,True
3132,0.0,0.0,-0.198*x_1_0*x_2_1,0.045*x_1_0*x_2_1,SI,True
3133,0.283*x_1_1,-0.199*x_1_1,-0.059*x_1_0*x_2_1,0.088*x_1_0*x_2_1,SIS,True
3134,0.185*x_1_1,-0.165*x_1_1,-0.058*x_1_0*x_2_1,0.113*x_1_0*x_2_1,SIS,True
3135,0.0,0.0,-0.124*x_1_0*x_2_1,0.144*x_1_0*x_2_1,SI,True
3136,0.0,0.0,-0.032*x_1_0*x_2_1,0.102*x_1_0*x_2_1,SI,True
3137,0.335*x_1_1,-0.387*x_1_1,-0.105*x_1_0*x_2_1,0.133*x_1_0*x_2_1,SIS,True
3138,-x_1_0**3 + x_1_0 - x_1_1,0.257*x_1_0 + 0.05*x_1_1 + 0.457,0.547*x_1_0 - 0.547*x_2_0,0.0,FitzHughNagumo,True
3139,0.0,0.0,-0.119*x_1_0*x_2_1,0.059*x_1_0*x_2_1,SI,True
3140,0.107*x_1_1,-0.261*x_1_1,-0.199*x_1_0*x_2_1,0.196*x_1_0*x_2_1,SIS,True
3141,0.276*x_1_1,-0.3*x_1_1,-0.147*x_1_0*x_2_1,0.172*x_1_0*x_2_1,SIS,True
3142,0.278*x_1_1,-0.101*x_1_1,-0.139*x_1_0*x_2_1,0.064*x_1_0*x_2_1,SIS,True
3143,0.0,0.0,-0.049*x_1_0*x_2_1,0.193*x_1_0*x_2_1,SI,True
3144,0.0,0.0,-0.042*x_1_0*x_2_1,0.128*x_1_0*x_2_1,SI,True
3145,-x_1_0**3 + x_1_0 - x_1_1,0.133*x_1_0 + 0.047*x_1_1 + 0.254,1.309*x_1_0 - 1.309*x_2_0,0.0,FitzHughNagumo,True
3146,0.0,0.0,-0.065*x_1_0*x_2_1,0.049*x_1_0*x_2_1,SI,True
3147,0.194*x_1_1,-0.371*x_1_1,-0.051*x_1_0*x_2_1,0.104*x_1_0*x_2_1,SIS,True
3148,0.15*x_1_1,-0.295*x_1_1,-0.087*x_1_0*x_2_1,0.099*x_1_0*x_2_1,SIS,True
3149,0.0,0.0,-0.068*x_1_0*x_2_1,0.058*x_1_0*x_2_1,SI,True
3150,0.0,0.0,-0.111*x_1_0*x_2_1,0.091*x_1_0*x_2_1,SI,True
3151,0.0,0.0,-0.195*x_1_0*x_2_1,0.115*x_1_0*x_2_1,SI,True
3152,0.0,0.0,-0.148*x_1_0*x_2_1,0.06*x_1_0*x_2_1,SI,True
3153,0.328*x_1_1,-0.255*x_1_1,-0.151*x_1_0*x_2_1,0.123*x_1_0*x_2_1,SIS,True
3154,0.147*x_1_1,-0.242*x_1_1,-0.112*x_1_0*x_2_1,0.151*x_1_0*x_2_1,SIS,True
3155,0.0,0.0,-0.074*x_1_0*x_2_1,0.158*x_1_0*x_2_1,SI,True
3156,0.0,0.0,-0.071*x_1_0*x_2_1,0.055*x_1_0*x_2_1,SI,True
3157,-x_1_0**3 + x_1_0 - x_1_1,0.27*x_1_0 + 0.019*x_1_1 + 0.354,1.263*x_1_0 - 1.263*x_2_0,0.0,FitzHughNagumo,True
3158,-x_1_0**3 + x_1_0 - x_1_1,0.748*x_1_0 + 0.031*x_1_1 + 0.371,1.388*x_1_0 - 1.388*x_2_0,0.0,FitzHughNagumo,True
3159,0.16*x_1_1,-0.196*x_1_1,-0.136*x_1_0*x_2_1,0.025*x_1_0*x_2_1,SIS,True
3160,0.143*x_1_1,-0.201*x_1_1,-0.042*x_1_0*x_2_1,0.111*x_1_0*x_2_1,SIS,True
3161,-x_1_0**3 + x_1_0 - x_1_1,0.488*x_1_0 + 0.015*x_1_1 + 0.24,1.31*x_1_0 - 1.31*x_2_0,0.0,FitzHughNagumo,True
3162,-x_1_0**3 + x_1_0 - x_1_1,0.738*x_1_0 + 0.015*x_1_1 + 0.249,0.628*x_1_0 - 0.628*x_2_0,0.0,FitzHughNagumo,True
3163,0.134*x_1_1,-0.269*x_1_1,-0.149*x_1_0*x_2_1,0.118*x_1_0*x_2_1,SIS,True
3164,0.125*x_1_1,-0.287*x_1_1,-0.059*x_1_0*x_2_1,0.168*x_1_0*x_2_1,SIS,True
3165,0.151*x_1_1,-0.32*x_1_1,-0.156*x_1_0*x_2_1,0.03*x_1_0*x_2_1,SIS,True
3166,0.0,0.0,-0.129*x_1_0*x_2_1,0.05*x_1_0*x_2_1,SI,True
3167,0.0,0.0,-0.122*x_1_0*x_2_1,0.085*x_1_0*x_2_1,SI,True
3168,-x_1_0**3 + x_1_0 - x_1_1,0.319*x_1_0 + 0.04*x_1_1 + 0.3,1.212*x_1_0 - 1.212*x_2_0,0.0,FitzHughNagumo,True
3169,0.0,0.0,-0.028*x_1_0*x_2_1,0.125*x_1_0*x_2_1,SI,True
3170,0.0,0.0,-0.196*x_1_0*x_2_1,0.194*x_1_0*x_2_1,SI,True
3171,0.0,0.0,-0.097*x_1_0*x_2_1,0.151*x_1_0*x_2_1,SI,True
3172,0.0,0.0,-0.063*x_1_0*x_2_1,0.038*x_1_0*x_2_1,SI,True
3173,0.322*x_1_1,-0.102*x_1_1,-0.115*x_1_0*x_2_1,0.1*x_1_0*x_2_1,SIS,True
3174,-x_1_0**3 + x_1_0 - x_1_1,0.369*x_1_0 + 0.025*x_1_1 + 0.383,1.001*x_1_0 - 1.001*x_2_0,0.0,FitzHughNagumo,True
3175,0.167*x_1_1,-0.162*x_1_1,-0.028*x_1_0*x_2_1,0.055*x_1_0*x_2_1,SIS,True
3176,0.158*x_1_1,-0.162*x_1_1,-0.142*x_1_0*x_2_1,0.173*x_1_0*x_2_1,SIS,True
3177,0.125*x_1_1,-0.39*x_1_1,-0.098*x_1_0*x_2_1,0.148*x_1_0*x_2_1,SIS,True
3178,0.314*x_1_1,-0.192*x_1_1,-0.191*x_1_0*x_2_1,0.038*x_1_0*x_2_1,SIS,True
3179,-x_1_0**3 + x_1_0 - x_1_1,0.634*x_1_0 + 0.031*x_1_1 + 0.305,0.624*x_1_0 - 0.624*x_2_0,0.0,FitzHughNagumo,True
3180,0.0,0.0,-0.066*x_1_0*x_2_1,0.029*x_1_0*x_2_1,SI,True
3181,-x_1_0**3 + x_1_0 - x_1_1,0.201*x_1_0 + 0.018*x_1_1 + 0.357,1.477*x_1_0 - 1.477*x_2_0,0.0,FitzHughNagumo,True
3182,0.321*x_1_1,-0.379*x_1_1,-0.155*x_1_0*x_2_1,0.101*x_1_0*x_2_1,SIS,True
3183,0.0,0.0,-0.089*x_1_0*x_2_1,0.184*x_1_0*x_2_1,SI,True
3184,0.0,0.0,-0.176*x_1_0*x_2_1,0.114*x_1_0*x_2_1,SI,True
3185,-x_1_0**3 + x_1_0 - x_1_1,0.492*x_1_0 + 0.031*x_1_1 + 0.183,0.565*x_1_0 - 0.565*x_2_0,0.0,FitzHughNagumo,True
3186,-x_1_0**3 + x_1_0 - x_1_1,0.668*x_1_0 + 0.037*x_1_1 + 0.277,0.522*x_1_0 - 0.522*x_2_0,0.0,FitzHughNagumo,True
3187,-x_1_0**3 + x_1_0 - x_1_1,0.924*x_1_0 + 0.042*x_1_1 + 0.366,0.634*x_1_0 - 0.634*x_2_0,0.0,FitzHughNagumo,True
3188,0.223*x_1_1,-0.217*x_1_1,-0.028*x_1_0*x_2_1,0.181*x_1_0*x_2_1,SIS,True
3189,0.0,0.0,-0.023*x_1_0*x_2_1,0.123*x_1_0*x_2_1,SI,True
3190,0.343*x_1_1,-0.353*x_1_1,-0.198*x_1_0*x_2_1,0.067*x_1_0*x_2_1,SIS,True
3191,-x_1_0**3 + x_1_0 - x_1_1,0.807*x_1_0 + 0.037*x_1_1 + 0.302,0.758*x_1_0 - 0.758*x_2_0,0.0,FitzHughNagumo,True
3192,0.0,0.0,-0.098*x_1_0*x_2_1,0.113*x_1_0*x_2_1,SI,True
3193,-x_1_0**3 + x_1_0 - x_1_1,0.617*x_1_0 + 0.022*x_1_1 + 0.285,1.263*x_1_0 - 1.263*x_2_0,0.0,FitzHughNagumo,True
3194,0.193*x_1_1,-0.282*x_1_1,-0.108*x_1_0*x_2_1,0.187*x_1_0*x_2_1,SIS,True
3195,-x_1_0**3 + x_1_0 - x_1_1,0.354*x_1_0 + 0.046*x_1_1 + 0.318,0.966*x_1_0 - 0.966*x_2_0,0.0,FitzHughNagumo,True
3196,0.114*x_1_1,-0.39*x_1_1,-0.028*x_1_0*x_2_1,0.033*x_1_0*x_2_1,SIS,True
3197,0.0,0.0,-0.05*x_1_0*x_2_1,0.114*x_1_0*x_2_1,SI,True
3198,0.0,0.0,-0.108*x_1_0*x_2_1,0.034*x_1_0*x_2_1,SI,True
3199,0.346*x_1_1,-0.117*x_1_1,-0.174*x_1_0*x_2_1,0.067*x_1_0*x_2_1,SIS,True
3200,-x_1_0**3 + x_1_0 - x_1_1,0.165*x_1_0 + 0.032*x_1_1 + 0.19,0.596*x_1_0 - 0.596*x_2_0,0.0,FitzHughNagumo,True
3201,0.372*x_1_1,-0.272*x_1_1,-0.085*x_1_0*x_2_1,0.141*x_1_0*x_2_1,SIS,True
3202,0.0,0.0,-0.097*x_1_0*x_2_1,0.143*x_1_0*x_2_1,SI,True
